Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description
foaming-kitchen-cleaner,"Purelane Plant-Based Deep Cleaning Foaming Kitchen Surface Cleaner for Tough Grease, Oil, Food Stains & Everyday Kitchen Mess","Plant-powered foaming cleaner for everyday kitchen surfaces, built to cut through grease without harsh fumes.",Purelane,Kitchen Care,"bestseller, kitchen, plant-based",TRUE,Title,Default Title,PL-KIT-001,500,shopify,24,deny,manual,200,299,TRUE,TRUE,,,,FALSE,"Plant-Based Foaming Kitchen Cleaner | Purelane","A plant-based foaming kitchen cleaner for grease, oil, food stains, and everyday mess."
organic-dishwash-liquid-gel,Organic Dishwash Liquid Gel,"A gentle plant-based dishwash gel for clean dishes and comfortable hands.",Purelane,Dish Care,"bestseller, kitchen, dishwash",TRUE,Title,Default Title,PL-DIS-001,500,shopify,28,deny,manual,200,299,TRUE,TRUE,,,,FALSE,"Organic Dishwash Liquid Gel | Purelane","Plant-based dishwash gel that cleans effectively without leaving hands feeling dry."
tap-cleaner-limescale-remover,Tap Cleaner & Limescale Remover,"A concentrated cleaner for taps, fixtures, and hard-water limescale.",Purelane,Bathroom Care,"bestseller, bathroom, hard-water",TRUE,Title,Default Title,PL-TAP-001,500,shopify,22,deny,manual,200,299,TRUE,TRUE,,,,FALSE,"Tap Cleaner & Limescale Remover | Purelane","Plant-based tap cleaner for hard-water marks and limescale."
natural-herbal-floor-cleaner,Natural Herbal Floor Cleaner,"A fresh herbal floor cleaner made for everyday Indian homes.",Purelane,Home Care,"home, floors, plant-based",TRUE,Title,Default Title,PL-FLR-001,1000,shopify,18,deny,manual,249,349,TRUE,TRUE,,,,FALSE,"Natural Herbal Floor Cleaner | Purelane","A natural herbal floor cleaner for fresh, comfortable everyday cleaning."
non-toxic-laundry-detergent,Non-Toxic Laundry Detergent,"A plant-based laundry detergent for a clean wash without harsh sulphates.",Purelane,Laundry Care,"bestseller, laundry, plant-based",TRUE,Title,Default Title,PL-LND-001,1000,shopify,20,deny,manual,299,399,TRUE,TRUE,,,,FALSE,"Non-Toxic Laundry Detergent | Purelane","Plant-based laundry detergent for a clean wash and a fresher home."
non-toxic-toilet-cleaner,Non-Toxic Toilet Cleaner,"A non-toxic toilet cleaner for everyday bathroom freshness.",Purelane,Bathroom Care,"bathroom, toilet, plant-based",TRUE,Title,Default Title,PL-TLT-001,500,shopify,16,deny,manual,200,299,TRUE,TRUE,,,,FALSE,"Non-Toxic Toilet Cleaner | Purelane","A non-toxic plant-based toilet cleaner for everyday bathroom care."
gentle-hydrating-liquid-handwash,Gentle Hydrating Liquid Handwash,"A gentle liquid handwash designed to clean without stripping skin.",Purelane,Personal Care,"handwash, skin, gentle",TRUE,Title,Default Title,PL-HND-001,300,shopify,14,deny,manual,179,249,TRUE,TRUE,,,,FALSE,"Gentle Hydrating Liquid Handwash | Purelane","A gentle hydrating liquid handwash for clean, comfortable hands."
washing-machine-cleaner-descaler,Washing Machine Cleaner & Descaler,"A maintenance cleaner for washing machines and hard-water buildup.",Purelane,Laundry Care,"new, laundry, maintenance",TRUE,Title,Default Title,PL-WMC-001,250,shopify,12,deny,manual,200,299,TRUE,TRUE,,,,FALSE,"Washing Machine Cleaner & Descaler | Purelane","A cleaner and descaler for washing machines and hard-water buildup."
copper-bronze-brass-cleaner,"Copper, Bronze & Brass Cleaner","A gentle cleaner for copper, bronze, and brass surfaces.",Purelane,Home Care,"top-rated, home, metal-care",TRUE,Title,Default Title,PL-MTL-001,500,shopify,10,deny,manual,200,299,TRUE,TRUE,,,,FALSE,"Copper, Bronze & Brass Cleaner | Purelane","A plant-based cleaner for copper, bronze, and brass surfaces."
magic-eraser,Magic Eraser,"A reusable cleaning sponge for small marks and everyday household messes.",Purelane,Home Care,"sold-out, home, accessories",TRUE,Title,Default Title,PL-MGE-001,50,shopify,0,deny,manual,99,149,TRUE,TRUE,,,,FALSE,"Magic Eraser | Purelane","A reusable cleaning sponge for small marks and everyday household messes."
